REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
04980;BLUSA DELICADEZA;SEMANA 42;TRICOLINE SILKY ESTAMPA DELICADEZA;VERÃO 2025;DELICADEZA;FC - VER25 SEM 42 - 14/10;1
00806;VESTIDO BASIC CALIFORNIA;SEMANA;;VERÃO 2018;;;1
03425;SHORT FELINO;SEMANA;CODIGO DE BARRAS 43X75MM;VERÃO 2023;FELINO;;1
01672;VESTIDO LONGO BOTOES;SEMANA;;OFF;;;5
05437;CROPPED FRANZIDO CITRINO;CANCELADO;;INVERNO 2025;CITRINO;;4
00099;CAMISA BASICA;SEMANA;;OUTONO/INVERNO 2016;;;4
02367;CROPPED TEXTURE;SEMANA;;OFF;TEXTURE;;1
02392;REGATA TEE FLUIR;SEMANA;;INVERNO 2021;;;1
04700;CALCA RISCA DE GIZ ALFAIATARIA;CANCELADO;ALFAIATARIA RISCA GIZ(ADS220418-2);INVERNO 2024;RISCA DE GIZ;;2
06103;VESTIDO CROPPED DINKY;SEMANA 42;TRICOLINE 100% ALGODAO FIO 40 P11NM0043;INTERMEDIÁRIA;DINKY;FC - INV26 SEM 23 - 01/06;8
01077;PANTACOURT FIVELA;SEMANA;;INVERNO 2018;;;1
04044;BLAZER DELUXE;SEMANA 35;PATOU CHINA AT2302;VERÃO 2024;SAFIRA;FC - VER24 SEM32 - 07/08;4
06301;BLUSA CREMA;SEMANA 10;TRICOLINE 100% ALGODAO FIO 40 P11NM0043;INVERNO 2026;CREMA;FC - PECA FOTO - INV27;4
03246;SHORT ENTREMEIO;SEMANA;;INVERNO 2023;;;1
05398;SHORT SAIA ESSENCIAL;CANCELADO;MAQUINETADO LISBOA;VERÃO 2025;ESSENCIAL;;2
00404;CAMISA MARMORIZADA;SEMANA;;VERÃO 2017;;;1
01823;VESTIDO MIDI PONTILHISMO;SEMANA;;VERÃO 2020;;;1
01987;BLUSA MULLET LINEN;SEMANA;;OFF;;;5
00438;VESTIDO LONGO FOLHAGEM ROSE QUARTZ;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
02977;MACACAO ASTRAL;SEMANA;;INVERNO 2022;;;5
03162;CALCA;SEMANA;;INVERNO 2022;;;1
03587;VESTIDO CURTO SELF;SEMANA 04;FORRO VISCOSE POPLIN;ALTO VERÃO 2023;;FC - AV23 SEM01 - 02/01;2
04698;PANTALONA CHESS ALFAIATARIA;SEMANA 18;XADREZ FIO TINTO (YW61792-1);INVERNO 2024;CHESS;FC - INV24 SEM 18- 29/04;1
06032;BLAZER BOTOES ICONE;SEMANA 42;ALFAIATARIA MARRANT NEW (AT2286);INTERMEDIÁRIA;ICONE;FC - VER26 SEM 41 - 06/10;8
02664;CALCA CANDY;SEMANA;BOLONHA ALFAIATARIA HAVY CREPE;VERÃO 2022;CANDY;;15
06994;BLUSA SOUND;SEMANA 45;;ALTO VERÃO 2027;SOUND;;1
01533;CROPPED MEIA MANGA;SEMANA;;OFF;;;1
01619;VESTIDO GOLA ORIENTE;SEMANA;;VERÃO 2019;;;1
02122;VESTIDO MIDI SAN;SEMANA;;VERÃO 2021;;;4
02319;VESTIDO ZEN;SEMANA;;INVERNO 2021;;;1
02642;PANTALONA  DELICADO;SEMANA;;VERÃO 2022;;;1
04720;BLUSA RISCA DE GIZ;SEMANA 10;ALFAIATARIA RISCA GIZ(ADS220418-2);INVERNO 2024;RISCA DE GIZ;FC - INV24 SEM11 - 11/03;4
04807;VESTIDO MIDI DETALHE FLOR;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2024;;;1
00254;CROPPED SAFARI;SEMANA;;OUTONO/INVERNO 2016;;;1
00474;MACAQUINHO ROMA;SEMANA;;VERÃO 2017;;;1
03877;PARKA TECNOLOGICA;SEMANA;;INVERNO 2023;;;1
05502;PANTALONA NEW GLOW;SEMANA 18;MARRANT EST GLOW AT-2080;INVERNO 2025;NEW GLOW;FC - INV25 SEM 18 - 28/04;1
04143;MACACAO PARIS;SEMANA;;OUTONO/INVERNO 2016;;;0
04233;CALCA FLORESCER COM FAIXA;SEMANA 39;PARISE ESTAMPA FLORESCER(H9803 EA0005);VERÃO 2024;FLORESCER;FC - VER23 SEM37 - 11/09;1
06930;BLUSA ECHO;SEMANA 42;TECIDO VERMONT CHINA RW55406-1;ALTO VERÃO 2027;ECHO;;3
01168;CALCA SKINNY NEW;SEMANA;;OFF;;;2
03290;SAIA LONGA BABADOS GLOM;CANCELADO;;VERÃO 2023;;;1
05324;SHORT SCARLET COM PASSADOR;CANCELADO;PRIME SUPREME ESTAMPA SCARLET;ALTO VERÃO 2025;SCARLET;;1
05708;VESTIDO RECORTES FAMILIA 12;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2026;;;4
00876;REGATA CALIFORNIA;SEMANA;;VERÃO 2018;;;1
04006;VESTIDO CURTO EST CERRADO;SEMANA 32;EST CERRADO BASE NATHALY;VERÃO 2024;CERRADO;FC - INV23 SEM28 - 10/07;2
05649;COLETE FLORENCA;SEMANA 19;TWEED LUREX FLORENCA;INVERNO 2025;FLORENCA;FC - INV25 SEM 22 - 26/05;1
00928;VESTIDO LUNAR;SEMANA;;VERÃO 2018;;;1
01096;BLUSA ML BASICA;SEMANA;;OFF;;;3
02802;SHORT LART;SEMANA;;OFF;LART;;1
00781;PANTACOURT ELASTICO;SEMANA;;VERÃO 2018;;;6
01551;CALCA SKINNY BOTOES;SEMANA;;OFF;;;1
02490;SHORT PERFECTO;SEMANA;;VERÃO 2021;;;1
02812;SHORT BONJOUR;SEMANA;;VERÃO 2022;;;2
05543;BLUSA CASTLE DETALHE BOTOES;SEMANA 21;XADREZ FIO TINTO YW77235;INVERNO 2025;CASTLE;FC - INV25 SEM 21 - 19/05;1
06304;SAIA CROPPED CREMA;SEMANA 10;TRICOLINE 100% ALGODAO FIO 40 P11NM0043;INVERNO 2026;CREMA;FC - INV26 SEM 10 - 02/03;3
06903;VESTIDO SUMMER PARTY;SEMANA 36;CREPE IPANEMA EST SUMMER PARTY;VERÃO 2027;SUMMER PARTY;FC - VER27 SEM 36 - 01/09;1
00837;VESTIDO LIBERTY POA MINI;SEMANA;;VERÃO 2018;;;1
01329;PANTALONA LINHO BALTICO;SEMANA;;VERÃO 2019;;;2
01914;PANTALONA SPORT PB;SEMANA;;OFF;;;1
01265;MACACAO BALI;SEMANA;;VERÃO 2019;;;1
01689;VESTIDO MIDI POA ARTE;SEMANA;;VERÃO 2020;;;1
01826;MACACAO MIDI PONTILHISMO;SEMANA;;VERÃO 2020;;;1
03224;KIMONO NORDESTE;SEMANA;;VERÃO 2023;;;12
04503;CALCA PEACH CARGO;SEMANA 11;MARRANT PEACH (AT2376);VERÃO 2025;PEACH;FC - INV24 SEM25 - 12/06;9
06030;REGATA DETALHE COSTAS HORIZONTE;SEMANA 38;VISCOSE ESSENCIAL ARW800098;VERÃO 2026;HORIZONTE;FC - VER26 SEM 38 - 15/09;3
06041;CAMISA DETALHE VIVO TEXTURA;CANCELADO;;ALTO VERÃO 2026;TEXTURA;;2
02082;CALCA ATENAS;SEMANA;;OFF;;;8
03448;MACACAO CITY;SEMANA 37;;VERÃO 2023;;;8
07024;BATA FLOW;SEMANA 47;;ALTO VERÃO 2027;FLOW;;1
03075;SHORT MANDACARU;SEMANA;;INVERNO 2022;MANDACARU;;1
04170;VESTIDO LONGO ORQUESTRA;SEMANA;;OUTONO/INVERNO 2016;;;0
06082;REGATA CITRINO;SEMANA 18;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;CITRINO;FC - INV25 SEM 18 - 28/04;3
00590;VESTIDO LONGO FLORAL MINI;SEMANA;;OUTONO/INVERNO 2017;;;1
01477;MACACAO DUO PB;SEMANA;;OFF;;;1
05325;CAMISA BOTOES MANGA BUFANTE;SEMANA 18;TRICOLINE MILANO 3547;INVERNO 2024;;;1
06378;MACACAO RISTRETTO;SEMANA 18;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2026;RISTRETTO;FC - INV26 SEM 18 - 27/04;3
06545;VESTIDO SLEEP ESSENZA RENDA;CANCELADO;;INVERNO 2026;ESSENZA;;1
00407;VESTIDO PARTY;SEMANA;;VERÃO 2017;;;1
02942;CROPPED LUZ;SEMANA;;OFF;;;7
03765;CALCA SOL;SEMANA 17;VISCOLINHO TEMPLES;INVERNO 2023;;FC - INV23 SEM19 - 08/05;3
01699;CROPPED TAITI;SEMANA;;VERÃO 2020;;;1
02063;SAIA MIDI LITORANEA;SEMANA;;OFF;;;5
02098;BLAZER ATENAS;SEMANA;;OFF;;;3
06877;CAMISA LISTRAS STRIKE;SEMANA 40;TRICOLINE BORDADA FOLHAGEM 150017-39;VERÃO 2027;STRIKE;;1
03105;MACACAO ETNICO;SEMANA;;INVERNO 2022;;;1
02268;BLAZER TROPICAL;SEMANA;;VERÃO 2021;;;5
02993;CALCA ORLA;SEMANA;;INVERNO 2022;ORLA;;1
03171;TOP RENDA FLOR;SEMANA;;INVERNO 2022;;;4
05287;COLETE ALONGADO CLEAN;SEMANA 38;MARRANT PEACH (AT2376);VERÃO 2026;CLEAN;FC - VER25 SEM 46 - 11/11;6
05726;CROPPED FRESH;SEMANA 02;JALAPAO;ALTO VERÃO 2025;FRESH;FC - AV25 SEM 42 -14/10;25
06936;VESTIDO HEARTBEAT CROPPED;SEMANA 42;PATOU NEW (RW82311);ALTO VERÃO 2027;HEARTBEAT;;4
00898;PANTACOURT UNIVERSO;SEMANA;;VERÃO 2018;;;1
02401;CROPPED FLOW;SEMANA;;INVERNO 2021;;;1
04843;SAIA BOTOES PUREZA;CANCELADO;MARRANT PEACH (AT2376);VERÃO 2025;PUREZA;;2
05376;CALCA LINHO SUNSHINE;SEMANA 44;LINHO SPANDEX;ALTO VERÃO 2025;SUNSHINE;FC - VER25 SEM 40- 30/09;9
06048;BLUSA DETALHE MANGA POETIC;SEMANA 39;TRICOLINE MILANO 3547;VERÃO 2026;POETIC;FC - VER26 SEM 38 - 15/09;6
06709;BLUSA MANGAS COMPASS;SEMANA 36;VISCOSE ESSENCIAL ARW800098;VERÃO 2027;COMPASS;FC - VER27 SEM 36 - 01/09;3
00675;REGATA SEDA PINCEL;SEMANA;;OUTONO/INVERNO 2017;;;1
03135;BLUSA ARIDO;SEMANA;;INVERNO 2022;;;4
03767;VESTIDO LONGO YANG;SEMANA 18;EST YANG BASE BROMELIA;INVERNO 2023;YANG;FC - INV23 SEM18 - 01/05;1
04214;PANTALONA ROUGE PREGAS;SEMANA 48;ESTAMPA ROUGE BASE GLOW;ALTO VERÃO 2024;ROUGE;FC - VER24 SEM48 - 27/11 ;1
06909;BLUSA LACO BOUNCE;SEMANA 42;VISCOSE FLASH AT 2232;ALTO VERÃO 2027;BOUNCE;;3
01332;PANTALONA LINHO BALTICO;SEMANA;;VERÃO 2019;;;1
05688;SHORT SAIA PESPONTO CITRINO;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;CITRINO;;3
00293;CAMISA LACO CHEVRON;SEMANA;;OUTONO/INVERNO 2016;;;1
01248;CROPPED LINHO PREGA;SEMANA;;VERÃO 2019;;;4
02500;TOP MOMENTO;SEMANA;;INVERNO 2021;;;1
03386;PANTALONA LIFE;SEMANA 24;;INVERNO 2023;;;5
04256;CALCA VIVER COS ELASTICO;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2024;VIVER;;4
04634;CALCA CENOURA DALIA;SEMANA 22;ATACAMA CHINA (AT-1909);INVERNO 2024;DALIA;FC - INV24 SEM20 - 13/05;9
05450;SHORT RENOVAR BOTOES;SEMANA 36;MARRANT PEACH (AT2376);VERÃO 2025;RENOVAR;FC - VER25 SEM 31 - 29/07;9
05732;COLETE GEADA;SEMANA 16;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;GEADA;FC - INV25 SEM 16 - 14/04;1
06881;BLAZER GROOVE;CANCELADO;;VERÃO 2027;GROOVE;;2
02531;JAQUETA MATCH;SEMANA;;INVERNO 2021;;;1
04575;PANTALONA VENICE ALFAIATARIA;SEMANA 45;PATOU CHINA AT2302;VERÃO 2025;VENICE;;8
06000;CAMISA ART;CANCELADO;ALGODAO BORDADO ART;ALTO VERÃO 2026;ART;;2
00770;CALCA PINCELADA;SEMANA;;VERÃO 2018;;;1
00870;CALCA BOY CITRINE;SEMANA;;VERÃO 2018;;;1
02680;BLUSA CHARM;SEMANA;;INVERNO 2022;;;13
03923;PANTALONA GAIA;SEMANA 24;VISCOSE SARJADA SINERGY;INVERNO 2023;;FC - INV23 SEM24 - 12/06;4
04176;CROPPED PEROLA;SEMANA 42;ALFAIATARIA MARRANT 20038 - ACT;VERÃO 2024;PEROLA;FC - VER23 SEM39 - 26/09;9
04904;COLETE GREY BOTOES;SEMANA 21;ALFAIATARIA TR SPAN;INVERNO 2024;GREY;FC - INV24 SEM19 - 04/05;1
05853;BLAZER PRINT;SEMANA 31;ALFAIATARIA MARRANT NEW (AT2286);INTERMEDIÁRIA;PRINT;FC - VER26 SEM 31 - 28/07;6
00490;REGATA LIBERTY FLORAL;SEMANA;;VERÃO 2017;;;1
00839;VESTIDO FLY TURQUESA;SEMANA;;VERÃO 2018;;;1
01972;MACACAO FOLK;SEMANA;;OFF;;;3
02954;JARDINEIRA SNOW;SEMANA;;VERÃO 2022;;;1
03589;PANTALONA SOL;CANCELADO;;ALTO VERÃO 2023;;;1
01158;CALCA LACO;SEMANA;;VERÃO 2019;;;1
03348;MACACAO MARANT;CANCELADO;;VERÃO 2023;;;1
03466;PANTALONA REFUGIO;SEMANA;LINHO ALGARVE;VERÃO 2023;;;4
04995;SAIA MIDI FLORA;CANCELADO;PATOU NEW (RW82311);VERÃO 2025;FLORA;;1
05602;SHORT PEPPER DETALHE AMARRACAO;SEMANA;RAYON 40 EST PEPPER;VERÃO 2025;PEPPER;FC - VER25 SEM 42 - 14/10;1
00680;RINCONPRINT L17639DGZ1;SEMANA;;OUTONO/INVERNO 2017;;;1
01017;BLUSA SINO MOSCOU;SEMANA;;INVERNO 2018;;;1
01864;REGATA BOTOES;SEMANA;;OFF;;;3
04727;BLUSA DETALHE MANGA;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2024;;;1
00958;REGATA LISBOA;SEMANA;;INVERNO 2018;;;1
01020;MACACAO MIDI MOSCOU;SEMANA;;INVERNO 2018;;;1
01400;SAIA MIDI BOTOES;SEMANA;;INVERNO 2019;;;3
0280207;MACACAO LISO SUEX;SEMANA;;VERÃO 2025;;;0
05553;SAIA CROPPED LISTRAS;SEMANA 49;TRICOLINE TURIM EST LISTRAS;ALTO VERÃO 2025;LISTRAS;FC - VER25 SEM 49 - 02/12;1
06818;CALCA SELECAO;SEMANA 21;PATOU CHINA AT2302;INVERNO 2026;COPA;FC - INV26 SEM 21 - 18/05;1
02778;CROPPED LAISE;SEMANA;;OFF;;;5
06268;BLUSA DECOTE ARABICA;SEMANA 15;VISCOSE ESSENCIAL ARW800098;INVERNO 2026;ARABICA;FC - PECA FOTO - INV27;2
02956;CROPPED RETRO TRICOT;SEMANA;;OFF;;;2
04393;SHORT  RETALHO;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2023;;;1
02908;BLUSA ANCESTRAL;SEMANA;;VERÃO 2022;;;1
04316;MACACAO PEROLA CORSET;SEMANA 42;ALFAIATARIA MARRANT 20038 - ACT;VERÃO 2024;PEROLA;FC - VER23 SEM39 - 26/09;12
01162;VESTIDO LITORAL;SEMANA;;VERÃO 2019;;;1
01304;MACAQUINHO MIRANTE;SEMANA;;VERÃO 2019;;;1
01862;CROPPED MINIMAL;SEMANA;;OFF;;;3
02068;VESTIDO ENTREMEIO;SEMANA;;VERÃO 2021;;;3
02711;SHORT MODERN;SEMANA;;VERÃO 2022;;;1
03851;BLAZER CURTO/LONGO/JAQUETA  DIV 12000;BAZAR;;BAZAR 2023;;;1
05459;VESTIDO CURTO DEGAGE DASH;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2025;DASH;;1
05743;CALCA RETA GEADA;SEMANA 16;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;GEADA;FC - INV25 SEM 16 - 14/04;1
02333;VESTIDO MD ORIGEM;SEMANA;;OFF;;;1
05672;VESTIDO LONGO BORDADO SELENITA;SEMANA 16;ALGODAO BORDADO SELENITA;INVERNO 2025;SELENITA;FC - INV25 SEM 16 - 14/04;2
01620;KIMONO CONSTELACAO;SEMANA;;PRIMAVERA 2019;;;1
02096;PANTALONA TEXTURE;SEMANA;;VERÃO 2021;;;3
02928;SAIA ORGANICO;SEMANA;;OFF;;;4
03560;CRPPED ELEGANCE;SEMANA 46;EST ELEGANCE BASE PARISE;VERÃO 2023;;FC - VER23 SEM45 - 07/11;1
00464;VESTIDO MIDI GARDENIA;SEMANA;;VERÃO 2017;;;1
03770;SAIA ABRIGO;SEMANA 16;ALFAIATARIA MARANT;INVERNO 2023;;FC - INV23 SEM16 - 17/04;4
04842;BLAZER PUREZA DETALHE BOTOES;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;PUREZA;;2
01130;CALCA CASUAL;SEMANA;;OFF;;;2
02807;BLUSA FRANCE;SEMANA;;VERÃO 2022;;;1
04081;CALCA SLIM - 5000;BAZAR;;BAZAR 2023;;;1
04532;PANTALONA CELESTE;SEMANA 17;MARROCAINE ESTAMPA CELESTE;INVERNO 2024;CELESTE;;1
01344;MACAQUINHO CAJU;SEMANA;;VERÃO 2019;;;1
02027;VESTIDO MIDI CLASSIC;SEMANA;;VERÃO 2021;;;1
05522;CALCA CLOCHARD BLANC;CANCELADO;TECIDO VERMONT CHINA RW55406-1;INVERNO 2025;BLANC;;2
00552;BLUSA 2/4;SEMANA;;OFF;;;4
00554;BLUSA BABADO POA;SEMANA;;OUTONO/INVERNO 2017;;;1
01531;BLUSA DUO;SEMANA;;OFF;;;2
02321;BATA ZEN;SEMANA;;INVERNO 2021;;;1
04465;VESTIDO MIDI ARCOS;SEMANA 44;MARROCAINE EST ARCOS CHINA (PW80136-6);ALTO VERÃO 2024;ARCOS;FC - VER24 SEM44 - 30/10;1
06157;BLUSA ART DETALHE AMARRACAO;SEMANA 42;ALGODAO BORDADO ART;ALTO VERÃO 2026;ART;FC - AV26 SEM 42 - 13/10;2
06694;CALCA ALADIM SONAR;SEMANA 32;MARROCAINE EST SONAR PW80136-27;VERÃO 2027;SONAR;FC - VER27 SEM 32 - 03/08;1
07018;BLUSA PEPLUM CHAIN;SEMANA;;ALTO VERÃO 2027;CHAIN;;1
00318;CALCA FLARE BANDAGEM;SEMANA;;OUTONO/INVERNO 2016;;;1
00425;VESTIDO WHITE;SEMANA;;VERÃO 2017;;;1
02273;MAIO  SUN;SEMANA;;INVERNO 2021;;;4
03633;MACACAO BLEND;SEMANA 11;EST BLEND;INVERNO 2023;BLEND;FC - INV23 SEM13 - 27/03;1
03730;CALCA NASCER;SEMANA 14;BORDEAUX CREPE AIR FLOW;INVERNO 2023;;FC - INV23 SEM14 - 03/04;10
05378;BLUSA CASUAL RESORT;SEMANA 41;ALFAIATARIA RESORT 3090;VERÃO 2025;RESORT;;3
05757;SHORT REFLEXOS COM PASSADOR;SEMANA 07;MAQUINETADO LISBOA;INVERNO 2025;REFLEXOS;FC - AV25 SEM 04 -25/01;4
06371;SAIA CROPPED RISTRETTO;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2026;RISTRETTO;;3
00494;CHEMISE LISTRAS;SEMANA;;OUTONO/INVERNO 2017;;;1
01145;BLUSA 2/4 SATIN;SEMANA;;OFF;;;4
01592;BLUSA COOL CREPE;SEMANA;;OFF;;;9
01973;PANTACOURT FOLK;SEMANA;;OFF;;;4
02424;BLUSA FRESH;SEMANA;;VERÃO 2021;;;1
06075;MACACAO DETALHE BUSTO MOVIMENTO;CANCELADO;;VERÃO 2026;MOVIMENTO;;1
00753;PANTALONA CALIFORNIA;SEMANA;;VERÃO 2018;;;1
03850;SHORT DIV 6000;BAZAR;;BAZAR 2023;;;1
04491;BLAZER CROPPED RIVIERA;SEMANA 10;TWEED LISO (RW1835);INVERNO 2024;RIVIERA;FC - INV24 SEM12 - 18/03;9
04838;BERMUDA PREGAS SONHAR;SEMANA 23;TECIDO VERMONT CHINA RW55406-1;VERÃO 2025;SONHAR;FC - VER25 SEM 31 - 29/07;4
06040;SHORT DETALHE COS COSTA;CANCELADO;;VERÃO 2026;COSTA;;3
00897;BODY LADY;SEMANA;;VERÃO 2018;;;2
02734;VESTIDO CURTO LA VIE;SEMANA;;OFF;;;1
00399;CALCA AM PM;SEMANA;;VERÃO 2017;;;3
00721;BLUSA BEHIND;SEMANA;;OFF;;;1
02329;BLUSA SENSE;SEMANA;;INVERNO 2021;;;1
05775;BLAZER CITRINO;SEMANA 18;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;CITRINO;FC - INV25 SEM 18 - 28/04;4
04018;VESTIDO CURTO EST BLANCHE;SEMANA 32;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;FC - VER24 SEM32 - 07/08;2
04095;PANTALONA MARES CLOCHARD;SEMANA 41;RUSTIC LINEN LISO TINTO IMP.14 - 175158;VERÃO 2024;MARES;FC - VER24 SEM40 - 02/10;9
04144;MACACAO INFERNO;SEMANA;;OUTONO/INVERNO 2016;;;0
04508;CALCA LONDON SLIM;SEMANA 28;ALFAIATARIA SOHO (RW54958);VERÃO 2025;LONDON;;3
00456;BLUSA 2/4 QUADRANTE;SEMANA;;VERÃO 2017;;;1
01161;VESTIDO ROMA;SEMANA;;VERÃO 2019;;;1
0280210;MACACAO CARGO TUTAN;SEMANA;;VERÃO 2025;;;0
02921;SHORT NATURAL;SEMANA;;VERÃO 2022;;;1
04957;CROPPED SUNNY CORSET;SEMANA 32;ATACAMA POLY SPAN;VERÃO 2025;SUNNY;FC - VER25 SEM 30 - 22/07;4
05373;CROPPED ALFAIATARIA SILVER;SEMANA 33;MARANT NATURE SUMMER (BETA);VERÃO 2025;SILVER;FC - VER25 SEM 33 - 12/08;4
05456;VESTIDO MIDI PISCINE;SEMANA 49;PARISE EST PISCINE;ALTO VERÃO 2025;PISCINE;FC - VER25 SEM 49 - 02/12;1
06599;BLUSA ZIPER MELANGE;SEMANA 19;EST INOX YK72664;INVERNO 2026;MELANGE;FC - INV26 SEM 19 - 04/05;1
06736;PANTALONA LOVE SUNSET;SEMANA 36;LINHO CHINA (AT2314);VERÃO 2027;LOVE SUNSET;FC - VER27 SEM 36 - 01/09;3
00482;REGATA DEBRUM;SEMANA;;OFF;;;3
00840;VESTIDO FLY LIRIO NUDE;SEMANA;;VERÃO 2018;;;1
01867;CHEMISE LINHO RUSTIC;SEMANA;;OFF;;;5
02151;PANTALONA GRECIA;SEMANA;;VERÃO 2021;;;1
03089;BLUSA;SEMANA;;INVERNO 2022;;;1
04446;CALCA LUNA CENOURA;SEMANA 50;LINHO CHINA (AT2314);ALTO VERÃO 2024;LUNA;FC - VER24 SEM50 - 11/12;12
05983;REGATA BASICA FABRIC;SEMANA 37;ALGODAO MAQUINETADO PONTILHADO;VERÃO 2026;FABRIC;FC - VER26 SEM 38 - 15/09;2
01238;MACACAO TOQUIO;SEMANA;;OFF;;;4
02184;VESTIDO MIDI LITORANEA;SEMANA;;INVERNO 2021;;;1
04241;CROPPED GARDEN DETALHE FRENTE;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2024;GARDEN;;3
05635;CALCA NEW SUMMER;SEMANA 44;MARANT CHINA;ALTO VERÃO 2025;NEW SUMMER;FC - VER25 SEM 44 - 28/10;9
02476;CROPPED BOTOES DIVERSOS;SEMANA;;OFF;;;2
02587;MACACAO MINIMALISTA;SEMANA;;INVERNO 2021;;;1
05675;MACACAO WAVE;SEMANA 45;TAGLIARINI RAYON LINEN LISO;ALTO VERÃO 2025;WAVE;FC - VER25 SEM 45 - 04/11;2
00533;SAIA PLISSADA;SEMANA;;OUTONO/INVERNO 2017;;;1
01474;JAQUETA BOMBER;SEMANA;;INVERNO 2019;;;1
05315;SHORT ALFAIATARIA STRIPE;SEMANA 48;LISTRA VISCOSE LINEN ZANZIBAR;ALTO VERÃO 2025;STRIPE;FC - VER25 SEM 48 - 25/11;1
05560;BLUSA TRANSPASSE WOOD;CANCELADO;;INVERNO 2025;WOOD;;3
05796;VESTIDO CURTO COTELE BORDADO;SEMANA 17;COTELE BORDADO;INVERNO 2025;COTELE BORDADO;FC - INV25 SEM 17 - 21/04;4
06148;VESTIDO LONGO DETALHE FRANZIDO;CANCELADO;PATOU CHINA AT2302;ALTO VERÃO 2026;MODERN;;1
00555;BLUSA BABADO POA;SEMANA;;OUTONO/INVERNO 2017;;;1
02123;REGATA EST SANTORINI;SEMANA;;VERÃO 2021;;;1
02383;REGATA ZEBRA;SEMANA;;INVERNO 2021;;;1
02909;SAIA ANCESTRAL;SEMANA;;OFF;;;1
03349;CALCA CONFORTO;SEMANA 44;EST CONFORTO BASE BROMELIA;VERÃO 2023;CONFORTO;FC - VER23 SEM 44 - 03/11;1
04738;CROPPEDD ELASTICO OMBRO A OMBRO;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2024;;;1
07053;VESTIDO CURTO SOUND;SEMANA 45;;ALTO VERÃO 2027;SOUND;;1
01844;CROPPED CALMARIA;SEMANA;;OFF;;;4
04576;CAMISA IRIS;SEMANA 07;ESTAMPA IRIS;INVERNO 2024;IRIS;FC - AV24 SEM09 - 26/02;1
06164;BLUSA ACERVO;SEMANA 49;MARROCAINE RW80136-1;INTERMEDIÁRIA;ACERVO;FC - AV26 SEM 46 - 10/11;4
00538;PANTACOURT QUADRICULADA;SEMANA;;OUTONO/INVERNO 2017;;;1
04039;VESTIDO DECOTE QUADRADO;SEMANA 09;;INVERNO 2023;DUO II;;1
04239;MACAQUINHO LUNA COM FAIXA;SEMANA 50;LINHO CHINA (AT2314);ALTO VERÃO 2024;LUNA;;3
00787;VESTIDO TRICOLOR;SEMANA;;VERÃO 2018;;;3
01638;KIMONO PALMEIRA PB;SEMANA;;OFF;;;1
02632;PANTALONA FLUIR;SEMANA;;VERÃO 2022;;;1
05281;VESTIDO LONGO ESTELLA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;ESTELLA;;1
00551;BLUSA 2/4;SEMANA;;OFF;;;2
00670;CALCA LISTRA MARINHO;SEMANA;;OUTONO/INVERNO 2017;;;1
01406;BODY CANELADO;SEMANA;;INVERNO 2019;;;1
02237;CALCA ANDROS;SEMANA;;OFF;;;5
03503;BLUSA STRONGER;SEMANA 13;EST STRONGER BASE BROMELIA;INVERNO 2023;STRONGER;FC - INV23 SEM11 - 13/03;1
06054;COLETE MAXI MAR;SEMANA 48;LINHO CHINA (AT2314);INTERMEDIÁRIA;MAR;FC - AV26 SEM 45 - 03/11;3
01244;VESTIDO VERAO;SEMANA;;VERÃO 2019;;;1
01644;VESTIDO MIDI PALMEIRA PB;SEMANA;;VERÃO 2020;;;1
02072;MACACAO LITORANEA;SEMANA;;OFF;;;3
03428;TOP CITY;SEMANA 37;;VERÃO 2023;;;5
05521;BLAZER SLIM BLANC;CANCELADO;TECIDO VERMONT CHINA RW55406-1;INVERNO 2025;BLANC;;2
00780;SAIA MIDI BOTOES FENDA;SEMANA;;VERÃO 2018;;;1
01970;VESTIDO MIDI LOVE;SEMANA;;OFF;;;4
02378;REGATA GRACE;SEMANA;;INVERNO 2021;;;1
05503;BLUSA NEW GLOW MANGA BUFANTE;SEMANA 18;GGT EST GLOW;INVERNO 2025;NEW GLOW;FC - INV25 SEM 18 - 28/04;1
