REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
01676;VESTIDO MIDI FOLHAGEM NUDE;SEMANA;;VERÃO 2020;;;1
02709;CROPPED MODERN;SEMANA;;OFF;;;12
03533;COLETE COOL;CANCELADO;;VERÃO 2023;;;1
01373;BLUSA CIGANINHA;SEMANA;;OFF;;;4
01385;REGATA CHEVRON ETNICO;SEMANA;;INVERNO 2019;;;1
01690;VESTIDO VIVO POA ARTE;SEMANA;;VERÃO 2020;;;1
01456;SAIA COTELE BOTOES;SEMANA;;INVERNO 2019;;;1
02629;CALCA EQUILIBRIO;SEMANA;;INVERNO 2022;;;5
06713;REGATA ALCAS COMPASS;SEMANA 36;VISCOSE ESSENCIAL ARW800098;VERÃO 2027;COMPASS;FC - PECA FOTO - VER27;3
06869;SAIA GROOVE CROPPED;SEMANA 38;TRICOLINE FIO 50 ADS250506E;VERÃO 2027;GROOVE;;3
00893;VESTIDO CURTO SANTORINI;SEMANA;;OFF;;;1
05663;VESTIDO CURTO MAIA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;ALTO VERÃO 2025;MAIA;;3
00677;BLUSA SEDA PINCEL;SEMANA;;OUTONO/INVERNO 2017;;;1
01276;REGATA TERRARIO;SEMANA;;OFF;;;3
02764;VESTIDO CURTO MONET;SEMANA;;OFF;;;5
03666;SHORT CEU;SEMANA 06;LAISE MAUI;ALTO VERÃO 2023;;FC - AV23 SEM06 - 06/02;2
04832;BLAZER LIVING DETALHES LAPELA;SEMANA 42;PATOU CHINA AT2302;INVERNO 2025;LIVING;FC - INV25 SEM 15 - 07/04;4
05648;TRENCH COAT TWEED;CANCELADO;TWEED LUREX FLORENCA;INVERNO 2026;;FC - INV25 SEM 22 - 26/05;1
05735;VESTIDO CURTO NEPAL;SEMANA 34;MAQUINETADO LISBOA;VERÃO 2026;NEPAL;FC - INV25 SEM 18 - 28/04;3
06168;VESTIDO CROPPED CRAYON;SEMANA 50;VISCOSE ESSENCIAL ARW800098;INTERMEDIÁRIA;CRAYON;FC - AV26 SEM 45 - 03/11;2
06288;SAIA RECORTES DINKY;SEMANA 42;TRICOLINE 100% ALGODAO FIO 40 P11NM0043;INTERMEDIÁRIA;DINKY;FC - AV26 SEM 42 - 13/10;6
06311;BLUSA ICED;SEMANA 05;MARROCAINE RW80136-1;INVERNO 2026;ICED;FC - INV26 SEM 05 - 26/01;3
00460;REGATA RECORTES GOLD;SEMANA;;VERÃO 2017;;;1
00769;MACACAO EMPIRE;SEMANA;;VERÃO 2018;;;3
03156;CROPPED CACTO;SEMANA;;INVERNO 2022;CACTO;;1
03393;MACACAO ASTRAL NEW;SEMANA;;VERÃO 2023;;;8
04710;CAMISA BOLSOS AMANHECER;CANCELADO;LINHO CHINA (AT2314);INVERNO 2024;AMANHECER;;3
00745;SHORT VERAO18;SEMANA;;VERÃO 2018;;;1
01343;PANTALONA CAJU;SEMANA;;VERÃO 2019;;;1
02590;JAQUETA STREET BLACK;SEMANA;;INVERNO 2021;;;1
02796;VESTIDO MD ROSE;SEMANA;;VERÃO 2022;;;1
05289;BLUSA SCARLET DETALHE VIVO;CANCELADO;PRIME SUPREME ESTAMPA SCARLET;ALTO VERÃO 2025;SCARLET;;1
06184;BLUSA ESTAMPA COLECAO;SEMANA 05;PARISE EST COLECAO;INVERNO 2026;COLECAO;FC - INV26 SEM 05 - 26/01;1
06594;BLUSA BASIC;SEMANA;TECIDO DIVERSOS BAZAR;BAZAR FABRICA;;;1
01107;PANTACOURT POLI;SEMANA;;VERÃO 2019;;;1
02814;VESTIDO LG BONJOUR;SEMANA;;OFF;BONJOUR;;1
06426;CALCA TWEED BOURBON;SEMANA 21;TWEED EST BOURBON YW55777-01;INVERNO 2026;BOURBON;FC - INV26 SEM 21 - 18/05;1
00560;CAMISA ORIGAMI;SEMANA;;OUTONO/INVERNO 2017;;;1
01037;PANTALONA INV18;SEMANA;;OFF;;;3
02686;VESTIDO MD CANDY;SEMANA;;OFF;;;4
03950;CROPPED MOOVE;SEMANA 30;MARANT CHINA;INVERNO 2023;;FC - INV23 SEM 30- 24/07 ;4
06509;MACACAO TRANSPASSE COFFEE;SEMANA 16;MARROCAINE EST COFFEE PW80136;INVERNO 2026;COFFEE;FC - INV26 SEM 16 - 13/04;1
01279;CROPPED FLOWER;SEMANA;;VERÃO 2019;;;1
02700;SHORT FEELING;SEMANA;;OFF;;;9
